fight_url,date,fighter_0,fighter_1,round,ssl_0,ssa_0,tdl_0,tda_0,kd_0,ctrl_0,ssl_1,ssa_1,tdl_1,tda_1,kd_1,ctrl_1
http://ufcstats.com/fight-details/6f83cfae0c800ef8,2024-09-14,Alexa Grasso,Valentina Shevchenko,4,1,12,0,0,0,24,2,5,1,1,0,236
http://ufcstats.com/fight-details/6f83cfae0c800ef8,2024-09-14,Alexa Grasso,Valentina Shevchenko,5,8,21,1,4,0,25,14,23,3,6,0,143
http://ufcstats.com/fight-details/2335e75ce63805b6,2024-09-14,Brian Ortega,Diego Lopes,1,15,45,0,0,0,0,29,57,1,1,0,123
http://ufcstats.com/fight-details/2335e75ce63805b6,2024-09-14,Brian Ortega,Diego Lopes,2,16,48,0,1,0,0,22,46,0,0,0,7
http://ufcstats.com/fight-details/2335e75ce63805b6,2024-09-14,Brian Ortega,Diego Lopes,3,32,102,0,1,0,6,55,103,0,0,0,35
http://ufcstats.com/fight-details/27d98a8ee6608e27,2024-09-14,Daniel Zellhuber,Esteban Ribovics,1,27,76,0,0,0,0,24,65,0,0,0,0
http://ufcstats.com/fight-details/27d98a8ee6608e27,2024-09-14,Daniel Zellhuber,Esteban Ribovics,2,51,116,0,0,0,0,40,89,0,0,0,0
http://ufcstats.com/fight-details/27d98a8ee6608e27,2024-09-14,Daniel Zellhuber,Esteban Ribovics,3,43,116,0,1,1,15,92,191,0,0,0,0
http://ufcstats.com/fight-details/78b506e5092a27fd,2024-09-14,Ronaldo Rodriguez,Ode Osbourne,1,6,14,0,0,0,254,18,32,0,0,1,8
http://ufcstats.com/fight-details/78b506e5092a27fd,2024-09-14,Ronaldo Rodriguez,Ode Osbourne,2,19,24,1,1,0,250,6,10,0,0,0,22
http://ufcstats.com/fight-details/78b506e5092a27fd,2024-09-14,Ronaldo Rodriguez,Ode Osbourne,3,10,31,0,1,0,50,13,26,1,3,0,37
http://ufcstats.com/fight-details/2397e2a92710705a,2024-09-14,Irene Aldana,Norma Dumont,1,12,46,0,0,0,0,32,75,0,0,0,0
http://ufcstats.com/fight-details/2397e2a92710705a,2024-09-14,Irene Aldana,Norma Dumont,2,25,59,0,0,0,0,58,114,0,2,0,0
http://ufcstats.com/fight-details/2397e2a92710705a,2024-09-14,Irene Aldana,Norma Dumont,3,32,78,0,0,0,5,69,120,0,3,0,0
http://ufcstats.com/fight-details/dae8ad2e03aa4a9a,2024-09-14,Edgar Chairez,Joshua Van,1,40,81,0,0,0,0,23,48,0,0,0,0
http://ufcstats.com/fight-details/dae8ad2e03aa4a9a,2024-09-14,Edgar Chairez,Joshua Van,2,28,73,0,1,0,0,71,108,2,2,0,134
http://ufcstats.com/fight-details/dae8ad2e03aa4a9a,2024-09-14,Edgar Chairez,Joshua Van,3,11,35,0,1,0,27,24,44,1,1,0,132
http://ufcstats.com/fight-details/3cdc6fea724be133,2024-09-14,Raul Rosas Jr.,Aoriqileng,1,11,22,1,2,0,193,4,10,0,0,0,0
http://ufcstats.com/fight-details/3cdc6fea724be133,2024-09-14,Raul Rosas Jr.,Aoriqileng,2,17,49,0,3,0,0,17,42,0,0,0,0
http://ufcstats.com/fight-details/3cdc6fea724be133,2024-09-14,Raul Rosas Jr.,Aoriqileng,3,13,23,2,2,0,259,1,2,0,0,0,0
