fighter,weight_class,n_fights,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TD_pct,avg_TD_landed,avg_SUB_ATT,ko_finish_rate,cluster_id,style
Nicolas Dalby,Welterweight,14,0.43,3.88,0.26,0.9,0.1,0.14285714285714285,2,Well-Rounded
Nikita Krylov,Light Heavyweight,18,0.54,4.36,0.37,2.05,1.2,0.36363636363636365,1,Submission Grappler
Niklas Backstrom,Featherweight,3,0.495,6.0,0.0,0.0,1.0,0.0,1,Submission Grappler
Niko Price,Welterweight,19,0.43,5.11,0.3,1.06,0.6,0.5,2,Well-Rounded
Nikolas Motta,Lightweight,6,0.38,4.13,0.0,0.0,0.0,0.5,4,Pressure Striker
Nikolay Veretennikov,Welterweight,4,0.56,2.69,0.16,0.42,0.4,0.0,2,Well-Rounded
Nina Ansaroff,Women's Strawweight,7,0.47,75.1667,0.25,0.3333,0.6667,0.0,0,Volume Striker
Noad Lahat,Featherweight,4,0.467,33.0,0.187,1.6667,1.0,0.0,0,Volume Striker
Nora Cornolle,Women's Bantamweight,6,0.55,2.73,0.11,0.22,0.2,0.3333333333333333,4,Pressure Striker
Nordine Taleb,Welterweight,11,0.51,3.66,0.76,1.94,0.0,0.2857142857142857,3,Wrestler/Grappler
Norifumi Yamamoto,Bantamweight,3,0.385,15.5,0.125,0.5,0.0,0.0,2,Well-Rounded
Norma Dumont,Women's Bantamweight,5,0.5009,8.1727,0.5091,1.4182,0.0,0.0,2,Well-Rounded
Norman Parke,Lightweight,8,0.36,47.125,0.413,2.0,0.0,0.2,0,Volume Striker
Nursulton Ruziboev,Middleweight,4,0.46,2.59,0.66,0.75,0.0,1.0,4,Pressure Striker
Nurullo Aliev,Lightweight,3,0.44,2.72,0.43,2.12,0.3,0.3333333333333333,2,Well-Rounded
Oban Elliott,Welterweight,5,0.48,3.62,0.4,1.52,0.0,0.25,2,Well-Rounded
Ode Osbourne,Flyweight,9,0.4,2.94,0.29,0.94,0.4,0.5,2,Well-Rounded
Olivier Aubin-Mercier,Lightweight,11,0.51,2.48,0.33,2.36,0.5,0.14285714285714285,2,Well-Rounded
Oluwale Bamgbose,Middleweight,5,0.475,17.0,0.1,0.5,0.0,1.0,4,Pressure Striker
Omar Morales,Lightweight,3,0.4,3.42,1.0,0.46,0.0,0.25,2,Well-Rounded
Omari Akhmedov,Middleweight,7,0.34,2.97,0.45,2.58,0.2,0.2222222222222222,2,Well-Rounded
Orion Cosce,Welterweight,3,0.53,2.77,0.4,1.92,0.0,0.5,4,Pressure Striker
Oskar Piechota,Middleweight,6,0.55,3.19,0.5,0.76,1.9,0.5,1,Submission Grappler
Ottman Azaitar,Lightweight,5,0.51,5.73,0.0,0.0,0.0,1.0,4,Pressure Striker
Oumar Sy,Light Heavyweight,5,0.48,3.41,0.35,2.45,0.3,0.3333333333333333,2,Well-Rounded
Ovince Saint Preux,Light Heavyweight,26,0.47,3.03,0.36,1.09,0.5,0.42857142857142855,2,Well-Rounded
Pablo Garza,Featherweight,6,0.448,30.6,0.08,0.4,0.6,0.3333333333333333,0,Volume Striker
Paddy Holohan,Flyweight,5,0.46,26.5,0.395,1.75,1.25,0.0,1,Submission Grappler
Paddy Pimblett,Lightweight,8,0.52,5.49,0.21,0.69,1.2,0.2857142857142857,1,Submission Grappler
Paige Vanzant,Women's Flyweight,3,0.52,3.4,0.33,1.31,1.0,0.4,1,Submission Grappler
Pannie Kianzad,Women's Bantamweight,10,0.49,4.88,0.33,0.41,0.1,0.0,2,Well-Rounded
Parker Porter,Heavyweight,8,0.5,6.55,0.26,1.35,0.5,0.25,2,Well-Rounded
Pascal Krauss,Welterweight,4,0.457,82.0,0.527,1.6667,1.0,0.0,0,Volume Striker
Pat Barry,Heavyweight,9,0.565,17.0,0.0,0.0,0.0909,0.8,4,Pressure Striker
Pat Healy,Lightweight,4,0.38,40.2,0.214,1.8,0.4,0.0,0,Volume Striker
Pat Sabatini,Featherweight,10,0.59,1.69,0.5,4.48,1.5,0.0,3,Wrestler/Grappler
Patrick Cote,Welterweight,8,0.462,30.9,0.133,0.5,0.2,0.4,0,Volume Striker
