fighter,glicko_rating,glicko_rd,glicko_sigma
Carlos Ulberg,2014.3323301792275,118.48098014876213,0.06000144424107887
Sean O'Malley,2013.9081070613438,110.19490528461617,0.05999725494896462
Jean Silva,2010.1067772829442,139.29261695443756,0.05999679736772083
Benson Henderson,2007.3818485689626,120.80591687194683,0.06000044536563048
Paddy Pimblett,2002.171531265075,136.55926993435637,0.059994399224959895
Pat Sabatini,2000.9774132653051,131.6344287761981,0.05999946226035579
Quillan Salkilld,1999.4286823534733,164.76353708301488,0.05999762413395603
Gabriel Bonfim,1992.7301638225547,140.28920600656284,0.0599981603206364
Brian Ortega,1992.5182103121597,111.47525080444196,0.05999628244473813
Sergei Pavlovich,1991.85694787081,117.92593160285325,0.059999728801661344
Joe Pyfer,1991.2491215588634,134.83126674424838,0.059999456960271855
Zabit Magomedsharipov,1989.378421937412,167.8491862334968,0.059995685980117876
Arnold Allen,1988.3814461277693,114.67262685566948,0.05999173700751007
David Martinez,1986.6422867194547,205.24140330104441,0.06000184397672132
Deiveson Figueiredo,1986.5302866468078,94.82874551823816,0.05999425411218881
Mateusz Gamrot,1985.4920504691422,110.67600025699087,0.060002735975617644
Josh Hokit,1983.1805952081563,214.21076151658997,0.06000158237471811
Benoit Saint Denis,1982.627560725412,121.02474418168984,0.05999633961394155
Mario Bautista,1979.393442630653,118.16792386286893,0.05999770339063066
Anthony Johnson,1978.038730848495,121.94995227386138,0.060002714137817374
Dominick Cruz,1977.5393283132596,125.41627762930779,0.05999823883156699
Muhammad Mokaev,1977.368374228323,160.3249101222155,0.0599935567022854
Waldo Cortes Acosta,1974.7400387637495,140.5778891825722,0.059998680193583995
Gregor Gillespie,1973.6634350427566,145.25242318880828,0.05999714992445839
Song Yadong,1973.200488779007,106.0200477972968,0.059996480817702626
Myktybek Orolbai,1972.9179702301292,162.11709815142433,0.06000130030301564
Yair Rodriguez,1972.0056916102483,114.01012288731884,0.059992255593629897
Curtis Blaydes,1969.6986869429486,97.9683099536564,0.060001025419006766
Joshua Van,1969.3257598128855,125.23550393295183,0.06000053881559858
Mairon Santos,1963.8260984981976,183.95616552911187,0.05999824341396346
Ikram Aliskerov,1961.7834259366825,160.77268415711947,0.05999728301055635
Seokhyeon Ko,1961.4119351547524,238.03484115948882,0.060001393154877854
Gegard Mousasi,1960.1597641749609,120.5623922299245,0.06000477132109922
Mike Malott,1959.9514661380715,134.34388031147247,0.0599935311985126
Reinier De Ridder,1959.4006074054575,145.19663792516167,0.060000856133658007
Henry Cejudo,1954.815253475035,103.48855398281385,0.060001224562703744
Kyoji Horiguchi,1954.4837035746823,138.15236274492753,0.05999095084516848
Alexandre Pantoja,1954.4796099077266,103.26884768268785,0.059998457685518584
Vinicius Oliveira,1953.37552781063,165.8223988389073,0.060000356504268264
Aiemann Zahabi,1950.7681980136883,131.04463146539553,0.06000418868180544
Eddie Alvarez,1947.8443235565903,152.87397440752184,0.060002840723822955
Paulo Costa,1947.3224900821933,115.67239205786606,0.05999827777365947
Jose Aldo,1946.9706006648935,92.3498873694691,0.059993617484283314
Bryce Mitchell,1946.2517533885502,122.5692534436629,0.059993834487286034
Tyron Woodley,1943.8110507722135,106.27186571491517,0.060008567382669416
Glover Teixeira,1943.6741645312056,95.26069566919388,0.0599934440229115
Weili Zhang,1942.3996181456373,179.4712237062218,0.05999872884227701
Chan Sung Jung,1940.1457420339766,116.64146990945683,0.05999556136555382
Beneil Dariush,1937.4443925763019,91.15294554472024,0.06000389027318197
Jacqueline Cavalcanti,1936.8807281356003,186.0473352404373,0.0599975651638929
Rashid Magomedov,1936.417737991928,157.31596740323073,0.059998015207725665
Derek Brunson,1935.9988167476586,95.98898032523452,0.05999574282877436
Anthony Hernandez,1935.0745056810722,118.85549586945649,0.06000426179290943
Rustam Khabilov,1935.0320026004913,124.55280250658028,0.05999790559110709
Cain Velasquez,1934.7216578827588,137.5287930338346,0.060000117629191704
Ethyn Ewing,1934.3710389714436,238.03406315251132,0.060000842769118455
Peter Yan,1932.5447504642013,299.82000069133096,0.060004184486973776
Rose Namajunas,1931.6327260575713,102.37476458956742,0.0600067987007657
Renato Moicano,1931.3171012967568,96.42134185112965,0.059990515221893186
Cam Rowston,1929.2794570316335,221.96362626559664,0.05999970028861454
Jonathan Micallef,1927.925744659026,203.2334155956341,0.05999857634580722
Joel Alvarez,1927.2421204742614,123.24268381175796,0.0599959155174991
Jordan Johnson,1924.295876737709,208.2185317022523,0.059998142842697826
Fabricio Werdum,1923.041819118467,115.2277067531218,0.06000351830778117
Azamat Murzakanov,1922.532051741526,143.90815067153633,0.0599954148108058
Payton Talbott,1921.5145220544623,168.94580603687464,0.06000508511784058
Chepe Mariscal,1921.2687577353095,163.51343230252928,0.059997595427796556
Dominick Reyes,1917.4025142417836,105.98734817690892,0.059993846584063946
Yousri Belgaroui,1913.5397028974344,242.1729247749709,0.06000068076099278
Bryan Battle,1912.5981279519597,150.59232789684756,0.059997652709266575
Tatsuro Taira,1912.501041489483,133.41057296668166,0.059995893059604045
Jailton Almeida,1911.011184865658,122.35356905450924,0.05999685674417362
Manuel Torres,1908.9034962940548,156.14904912531915,0.060004268716675434
Mauricio Ruffy,1908.4992610076147,170.0303849370187,0.06000153779125785
Rory Macdonald,1908.4058620394137,127.3878580482627,0.060000518572824665
Gregory Rodrigues,1906.1781936276866,115.30964844950388,0.05999806488905629
Jan Blachowicz,1902.7405022526655,96.09481924453053,0.06001508684255277
Nathaniel Wood,1902.5754295219256,120.0987837307806,0.059993606128145305
