fighter,cardio_score,late_finish_rate_for,late_finish_rate_against,early_finish_rate_for,early_finish_rate_against,output_drop_per_rd,accuracy_drop_per_rd,td_def_drop_per_rd,degradation_score
Jesse Forbes,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Melvin Guillard,0.606060606060606,0.0,0.0,1.0,1.0,-1.2999999999999994,0.03739428184513374,-0.03914141414141405,0.0041
Diego Sanchez,0.8421052631578947,0.0,0.0,1.0,1.0,1.530769230769231,0.008565429147570663,0.1510416666666666,0.078
Luiz Cane,0.5,0.0,0.0,1.0,1.0,10.166666666666664,0.08885400676559208,0.0,0.3851
Efrain Escudero,0.9259259259259258,0.0,1.0,1.0,0.0,-0.7999999999999974,0.018332243484952743,-0.19285714285714264,-0.0503
Jason Brilz,0.6666666666666667,0.0,0.0,0.0,1.0,0.10000000000000023,0.009414470440177559,0.0,0.034
Todd Duffee,0.4666666666666666,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0
Michael Bisping,0.7703703703703704,0.5,0.25,0.5,0.75,2.6652173913043473,0.07844709707287253,-0.14870129870129847,0.0734
Rampage Jackson,0.3142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Wilks,1.0,0.0,0.0,0.0,0.0,0.33333333333333376,-0.019010625692772214,0.12500000000000006,0.0258
David Loiseau,0.6666666666666666,0.0,0.0,0.0,1.0,2.3833333333333324,-0.044027321007086596,0.17499999999999996,0.05
Mac Danzig,0.761904761904762,0.0,0.0,1.0,1.0,-2.449999999999998,0.009591570515393378,0.14833333333333337,0.0146
Mike Pyle,0.6458333333333333,0.5,0.0,0.5,1.0,2.9444444444444446,0.09766014932027108,-0.1249999999999997,0.1025
Paulo Thiago,0.8518518518518517,0.0,0.0,0.0,1.0,-0.09999999999999891,-0.06179170762788059,-0.30952380952380926,-0.147
Ricardo Funch,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,-4.166666666666663,-0.02895604395604386,0.0,-0.1214
Tyson Griffin,0.7333333333333333,0.0,0.0,0.0,1.0,1.590909090909092,0.021508581074804477,0.02916666666666669,0.0554
Carlos Condit,0.6901960784313725,0.4,0.0,0.6,1.0,4.456249999999999,0.028512105375835744,0.014374999999999818,0.1033
Mirko Cro Cop,0.3066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuck Liddell,0.3333333333333333,0.0,0.0,0.0,1.0,-1.3499999999999994,0.024832350630260625,0.0017361111111111605,0.0036
Ben Rothwell,0.6875,0.1428571428571428,0.0,0.8571428571428571,1.0,0.8583333333333337,-0.03005808485716142,-0.16666666666666635,-0.0609
Chris Leben,0.6333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,-0.4285714285714278,0.01271537807960332,0.0796296296296295,0.0297
Court McGee,0.7916666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,0.10000000000000275,0.041486404290819914,0.01666666666666667,0.0464
Keith Jardine,1.0,0.0,0.0,0.0,0.0,2.6111111111111125,0.026040256834843647,-0.04499999999999982,0.0543
Spencer Fisher,0.9333333333333332,0.0,0.0,0.0,1.0,-1.8214285714285687,-0.030128780362425323,0.09422619047619046,-0.0278
Jamie Yager,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
John Gunderson,1.0,0.0,0.0,0.0,0.0,-0.1666666666666657,0.06598793363499246,0.0,0.1059
Josh Bryant,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chris Camozzi,0.8596491228070174,0.6666666666666666,0.25,0.3333333333333333,0.75,0.5666666666666677,0.01846174629138225,0.18095238095238092,0.0804
Brad Tavares,0.8452380952380951,0.5,0.3333333333333333,0.5,0.6666666666666666,0.4333333333333354,0.010743240023585053,-0.23095238095238071,-0.0487
James McSweeney,0.6666666666666666,0.0,0.5,0.0,0.5,-8.749999999999993,-0.08611164954448526,0.0,-0.3103
Brock Lesnar,0.2666666666666666,0.0,0.0,1.0,1.0,0.8999999999999984,0.059391091364775536,0.0,0.1223
Chris Lytle,0.9166666666666666,0.5,0.0,0.5,0.0,7.771561172376096e-16,-0.04852212712764915,-0.20833333333333307,-0.1037
Krzysztof Soszynski,0.75,0.0,0.0,0.0,1.0,-2.5833333333333317,0.00972472452926256,0.07857142857142851,-0.0077
George Sotiropoulos,0.7666666666666666,0.0,0.5,1.0,0.5,0.3888888888888895,0.061136675688678324,0.0,0.1125
Seth Petruzelli,0.5,0.0,0.0,0.0,1.0,-9.499999999999995,-0.04754631321127486,0.07499999999999989,-0.1721
Forrest Petz,0.6666666666666666,0.0,0.0,0.0,1.0,1.8000000000000014,-0.022403048795684055,0.04166666666666671,0.0218
Jon Jones,0.6807017543859648,0.4,0.0,0.6,0.0,-1.3842105263157882,-0.001174437087484781,0.06785714285714291,-0.0018
Mark Munoz,0.6277777777777778,0.0,0.0,1.0,1.0,3.562499999999999,0.022873042868460612,0.48611111111111077,0.2211
Rob Kimmons,0.7777777777777777,0.0,0.0,0.0,1.0,-2.7499999999999987,-0.028524001573873668,0.0,-0.0868
James Irvin,0.3333333333333333,0.0,0.0,0.0,1.0,-0.5000000000000007,0.14236111111111097,0.0,0.2037
Brian Stann,0.6285714285714284,0.25,0.0,0.75,1.0,-3.642857142857142,-0.0667300280491317,0.04166666666666668,-0.106
Darren Elkins,0.8,0.2857142857142857,0.2,0.7142857142857143,0.8,1.645833333333335,0.027106396455349308,-0.05357142857142827,0.0374
Jon Fitch,0.8666666666666666,0.0,0.0,0.0,1.0,4.129411764705882,0.036966166432209506,0.02596371882086165,0.1093
Dustin Hazelett,0.5,0.0,0.0,0.0,1.0,-4.999999999999997,-0.11521423997456903,0.0,-0.2608
Johny Hendricks,0.7999999999999998,0.0,0.0,1.0,1.0,-2.149999999999998,-0.004995564477937269,0.03124999999999998,-0.0282
Todd Brown,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Stefan Struve,0.5833333333333333,0.0,0.2857142857142857,1.0,0.7142857142857143,4.928571428571426,0.03307674406975332,0.29166666666666663,0.1957
Demian Maia,0.8128205128205128,0.2857142857142857,0.0,0.7142857142857143,1.0,-1.958333333333332,-0.06045942979648911,-0.22999999999999968,-0.1523
Frankie Edgar,0.7575757575757575,0.6,0.2,0.4,0.8,1.5541666666666674,0.03542402206322829,0.17000000000000007,0.1086
Randy Couture,0.5,0.0,0.0,1.0,1.0,-2.416666666666665,-0.02308295911791976,0.20654761904761887,0.0019
Joe Lauzon,0.6666666666666667,0.125,0.0,0.875,1.0,-3.205882352941175,-0.014632823470433183,0.04047619047619032,-0.0512
Dan Miller,0.875,0.5,0.0,0.5,1.0,-1.2999999999999987,-0.0313157708682794,0.13333333333333328,-0.0092
Nate Marquardt,0.680952380952381,0.0,0.0,1.0,1.0,-1.968749999999998,0.01799288555155101,-0.04861111111111096,-0.0273
Cole Miller,0.861111111111111,0.0,0.0,1.0,0.0,-2.5714285714285694,0.008571890144095205,0.04166666666666674,-0.0193
Yves Edwards,0.7333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,-0.4666666666666659,0.009192511489044437,-0.15505952380952373,-0.0424
Jared Hamman,0.6666666666666666,0.0,0.0,1.0,1.0,6.124999999999996,0.02963461859328097,0.20833333333333323,0.1874
Tomasz Drwal,0.6666666666666666,0.0,0.0,0.0,1.0,-8.83333333333333,-0.016495653797560895,0.0,-0.2159
Rich Attonito,0.8666666666666666,0.0,0.0,1.0,1.0,2.1,-0.027092418163846665,0.08333333333333341,0.0344
TJ Waldburger,0.625,0.0,0.3333333333333333,1.0,0.6666666666666666,2.636779683484747e-16,-0.030852645917301025,-0.3333333333333332,-0.1238
Brian Foster,0.5,0.0,0.0,1.0,0.0,-1.6666666666666685,-0.011687147977470612,0.33333333333333304,0.0612
